country,year,exports,imports,resimp,gnp,pgnp,gnpw,pm,px,cpi,pw,exrate,consump,invest,income,pop,reserves,money,trend,pwcpi,importspmpx,pmcpi,pxpw
Indonesia,1973,-7.45899,-8.18939,-12.95986,0.56454,0.545384031620553,-1.93468,3.49515,2.4629,3.35794,-0.23325,0.66189,0.39905,-1.0402,0.39399,11.7660159373729,-21.14925,-1.29636,10,-1.50618879792125,-7.15714,4.74237918598809,3.56643718598809
Indonesia,1974,-7.44926,-7.91253,-12.9239,0.6486,0.606598972332016,-1.96828,3.74759,3.24384,3.69883,-0.0609,0.66189,0.41947,-0.9912,0.44944,11.7905570500533,-20.83643,-1.28591,11,-1.67472879792125,-7.40878,4.65392418598809,4.17501718598809
Indonesia,1975,-7.58563,-7.81638,-14.05033,0.61616,0.667813913043478,-1.98457,3.78966,3.29946,3.87349,0.02754,0.66189,0.42798,-0.97017,0.40164,11.8179805833212,-21.86671,-1.16736,12,-1.76094979792125,-7.32618,4.52133718598809,4.14220618598809
Indonesia,1976,-7.39602,-7.59276,-13.3171,0.66939,0.729028853754941,-1.94049,3.80258,3.34949,4.05439,0.07295,0.66189,0.44999,-0.88763,0.44416,11.8020812881677,-20.90986,-1.06221,13,-1.89644379792125,-7.13967,4.35335318598809,4.14681218598809
Indonesia,1977,-7.30687,-7.60314,-12.91378,0.74026,0.790243794466403,-1.9037,3.88169,3.45971,4.15888,0.13249,0.66189,0.50974,-0.82658,0.5125,11.8250316603137,-20.51692,-1.01733,14,-1.94139779792125,-7.18116,4.32797618598809,4.19749818598809
Indonesia,1978,-7.31939,-7.63777,-13.00473,0.81492,0.851458735177866,-1.86462,4.07141,3.53633,4.237,0.20736,0.70511,0.60309,-0.56635,0.58672,11.8479679514142,-20.6425,-0.90243,15,-1.88138135789973,-7.10269,4.43957618598809,4.13600018598809
Indonesia,1979,-7.36458,-7.67008,-12.68359,0.92814,0.912673675889328,-1.87369,4.51528,4.21978,4.43557,0.32551,0.99373,0.63556,-0.45388,0.6589,11.8708794366042,-20.35367,-0.82429,16,-1.61868663692978,-7.37458,4.68487718598809,4.35819318598809
Indonesia,1980,-7.41286,-7.47479,-12.7087,1.08779,0.973888616600791,-1.92702,4.60517,4.60517,4.60517,0.45764,1,0.74215,-0.32736,0.79561,11.8938244824838,-20.18349,-0.64135,17,-1.6498698979275,-7.47479,4.60517018598809,4.60517018598809
Indonesia,1981,-7.4225,-7.31664,-12.99257,1.20771,1.03510355731225,-1.92453,4.62603,4.61418,4.72028,0.54502,1.00761,0.83584,-0.17258,0.95764,11.9163884368072,-20.30921,-0.54852,18,-1.67002070790719,-7.30479,4.51091618598809,4.51920818598809
Indonesia,1982,-7.57815,-7.19024,-13.57678,1.16827,1.09631849802372,-1.95756,4.63146,4.63594,4.81137,0.56493,1.05491,0.87572,-0.17291,0.94775,11.9384544734293,-20.76702,-0.52972,19,-1.69532644269528,-7.19472,4.42525918598809,4.47517818598809
Indonesia,1983,-7.48255,-7.13459,-13.49018,1.18544,1.15753343873518,-1.92532,4.92375,4.83457,4.9229,0.57744,1.4502,0.89896,-0.12481,0.93837,11.9604916212607,-20.62477,-0.38214,20,-1.47610141997214,-7.04541,4.60602418598809,4.34305718598809
Indonesia,1984,-7.35707,-7.31164,-13.10843,1.22884,1.21874837944664,-1.87559,5.03787,4.94325,5.0219,0.601,1.63623,0.93548,-0.0684800000000001,0.97289,11.9822412326935,-20.42007,-0.30177,21,-1.43085608283128,-7.21702,4.62113418598809,4.30747918598809
Indonesia,1985,-7.3751,-7.48314,-12.90799,1.24935,1.2799633201581,-1.85898,5.0879,4.87301,5.06827,0.59618,1.77132,0.96457,-0.0361100000000001,1.01068,12.0038951376184,-20.39113,-0.11346,22,-1.40271186657273,-7.26825,4.62479018598809,4.16273318598809
Indonesia,1986,-7.27671,-7.66839,,1.18935,1.34117826086957,-1.83253,5.31324,,,0.56669,2.04564,,,,12.0253896256012,,,23,-1.3450971989588,-6.96488,4.79325218598809,3.78496218598809
Korea,1963,-9.73015,-7.32731,-11.56112,0.80006,,,1.8257196479489,1.93034908731965,2.12823,,,0.71101,-0.90847,0.57006,,-18.88843,-1.4265,,,,,
Korea,1964,-9.46698,-7.69541,-11.22661,0.86738,0.848420326086957,-2.21541,2.3364,2.44948,2.38601,-0.58577,0.35208,0.77778,-1.09566,0.63825,10.2284654097316,-18.92202,-1.57484,1,-1.5180177544068,-7.80849,4.55556518598809,4.53678918598809
Korea,1965,-9.14336,-7.60083,-11.31586,0.83416,0.934504604743082,-2.16165,2.57471,2.70807,2.51366,-0.56591,0.4386,0.75943,-1.06268,0.58739,10.2516765928246,-18.91669,-1.30206,2,-1.40608034092585,-7.73419,4.66622518598809,4.55577718598809
Korea,1966,-8.8955,-7.16218,-11.25729,0.94844,1.02058888339921,-2.1123,2.56835,2.81323,2.62973,-0.53332,0.44673,0.82426,-0.58408,0.70759,10.2736708464997,-18.41947,-0.96021,3,-1.47119579163941,-7.40706,4.54379618598809,4.60998518598809
Korea,1967,-8.73142,-6.88195,-11.25249,1.02022,1.10667316205534,-2.0949,2.57555,2.85337,2.72981,-0.53132,0.44538,0.90127,-0.49778,0.79354,10.3132766321243,-18.13444,-0.61896,4,-1.57229732655212,-7.15977,4.45090718598809,4.65116018598809
Korea,1968,-8.36854,-6.52384,-11.55448,1.14827,1.19275744071146,-2.057,2.58773,2.9075,2.83321,-0.50662,0.45547,0.98664,-0.20368,0.93244,10.3365678276773,-18.07832,-0.20119,5,-1.62860532406905,-6.84361,4.35969218598809,4.65819018598809
Korea,1969,-8.03694,-6.31016,-11.45235,1.27316,1.27884171936759,-2.04203,2.61401,2.89721,2.95126,-0.46834,0.47443,1.06636,0.02936,1.04517,10.359011860517,-17.76251,0.13456,6,-1.66758609345151,-6.59336,4.26792218598809,4.56883518598809
Korea,1970,-7.80942,-6.27771,-11.46572,1.34092,1.36492599802372,-2.06173,2.7237,3.01558,3.10009,-0.43268,0.5113,1.17145,-0.03206,1.10618,10.3809631966206,-17.74343,0.20609,7,-1.70591167482368,-6.56959,4.22877618598809,4.57670718598809
Korea,1971,-7.56585,-6.10589,-12.00595,1.40487,1.45101027667984,-2.03124,2.83171,3.11427,3.22645,-0.39992,0.57154,1.2491,0.02361,1.16905,10.4006198491701,-18.11184,0.24933,8,-1.68813070487295,-6.38845,4.21044018598809,4.53126018598809
Korea,1972,-7.20588,-6.10845,-11.87129,1.48352,1.53709455533597,-1.97946,2.97221,3.25076,3.33648,-0.35673,0.64685,1.30456,-0.02077,1.25796,10.4195991807314,-17.97974,0.41168,9,-1.63119474854572,-6.387,4.24089918598809,4.50076618598809
Korea,1973,-6.78468,-5.87531,-11.90206,1.69253,1.6231788339921,-1.93468,3.27193,3.49811,3.36833,-0.23325,0.65579,1.43584,0.33299,1.48897,10.4370525459695,-17.77737,0.6729,10,-1.52583456116674,-6.10149,4.50877518598809,4.61092018598809
Korea,1974,-6.71816,-5.81697,-13.58503,1.79088,1.70926311264822,-1.96828,3.72855,3.74839,3.58574,-0.0609,0.66592,1.57096,0.64043,1.59598,10.4542066246568,-19.402,0.65374,11,-1.55556263370437,-5.83681,4.74798818598809,4.67352318598809
Korea,1975,-6.55852,-5.82866,-12.61024,1.84215,1.79534739130435,-1.98457,3.93646,3.85382,3.81132,0.02754,0.79684,1.63482,0.64164,1.64625,10.4710713882386,-18.4389,0.65997,12,-1.51322727109605,-5.74602,4.73030918598809,4.51101418598809
Korea,1976,-6.24032,-5.59377,-11.93546,2.00085,1.88143166996047,-1.94049,3.91603,3.96554,3.95355,0.07295,0.79684,1.73475,0.64367,1.81649,10.4870987260835,-17.52923,0.79053,13,-1.61004727109605,-5.64328,4.56765418598809,4.57731418598809
Korea,1977,-6.09415,-5.40639,-11.76647,2.13753,1.9675159486166,-1.9037,3.93801,4.05512,4.05057,0.13249,0.79684,1.83953,0.87697,1.95496,10.5025986313095,-17.17286,1.01238,14,-1.64751927109605,-5.5235,4.49261418598809,4.60737218598809
Korea,1978,-5.97513,-5.15609,-12.17022,2.28797,2.05360022727273,-1.86462,3.9924,4.15614,4.1851,0.20736,0.79684,1.96505,1.14831,2.09971,10.5178619437348,-17.32631,1.16037,15,-1.70718327109605,-5.31983,4.41247718598809,4.63351818598809
Korea,1979,-6.02344,-5.0955,-12.39309,2.35537,2.13968450592885,-1.87369,4.19294,4.33513,4.35286,0.32551,0.79684,2.04181,1.35381,2.14749,10.5328957855477,-17.48859,1.22005,16,-1.75678927109605,-5.23769,4.44525618598809,4.69436218598809
Korea,1980,-5.92444,-5.17331,-12.5433,2.26387,2.22576878458498,-1.92702,4.60517,4.60517,4.60517,0.45764,1,2.031,1.129,2.04255,10.5484942528363,-17.71661,1.19037,17,-1.6498698979275,-5.17331,4.60517018598809,4.60517018598809
Korea,1981,-5.78852,-5.12368,-12.76351,2.2626,2.31185306324111,-1.92453,4.77214,4.75101,4.79827,0.54502,1.12118,2.03334,1.06899,2.0333,10.5641114380847,-17.88719,1.20494,18,-1.64120319580878,-5.10255,4.57904118598809,4.54925518598809
Korea,1982,-5.75964,-5.09701,-12.6992,2.29388,2.39793734189723,-1.95756,4.76624,4.78751,4.8683,0.56493,1.20366,2.05914,1.04227,2.07248,10.5797427637223,-17.79621,1.35838,19,-1.62034898294758,-5.11828,4.50310818598809,4.49484418598809
Korea,1983,-5.63034,-5.00217,-12.95469,2.39636,2.48402162055336,-1.92532,4.7773,4.80799,4.90156,0.57744,1.27725,2.10405,1.18814,2.1775,10.594883099882,-17.95686,1.45186,20,-1.58175856869873,-5.03286,4.48091318598809,4.44347218598809
Korea,1984,-5.55205,-4.93749,-12.90203,2.47768,2.57010589920949,-1.87559,4.82829,4.88002,4.92435,0.601,1.32694,2.15007,1.3362,2.25323,10.6093040374557,-17.83952,1.5157,21,-1.5428183583698,-4.98922,4.50911118598809,4.45378618598809
Korea,1985,-5.52347,-4.94139,-12.8402,2.53237,2.65619017786561,-1.85898,4.86133,4.91844,4.94876,0.59618,1.43234,2.19557,1.3639,2.30604,10.6227895931545,-17.78159,1.63305,22,-1.49561042740353,-4.9985,4.51774618598809,4.42059018598809
Korea,1986,-5.30149,-4.77275,,2.63801,2.74227445652174,-1.83253,4.80919,,,0.56669,1.45127,,,,10.6351339360234,,,23,-1.53441686276941,-4.90966,4.44315818598809,4.46460418598809
Malasia,1963,-6.04873,-5.41706,-10.00224,-4.15616,,,3.55878371132139,3.49074911757048,3.97048,,,-4.32626,-5.95021,-4.32797,,-15.4193,-5.23046,,,,,
Malasia,1964,-6.10529,-5.446,-9.95462,-4.10761,-4.12254880434782,-2.21541,3.56902,3.53407,3.96632,-0.58577,1.39147,-4.2709,-5.91885,-4.32526,9.10609035060238,-15.40062,-5.66436,1,-1.7240725556443,-5.41105,4.20787688598809,4.24711678598809
Malasia,1965,-6.08649,-5.42517,-9.92434,-4.03946,-4.08055045454546,-2.16165,3.56902,3.60212,3.96518,-0.56591,1.39147,-4.23426,-5.86048,-4.25227,9.13129716463573,-15.34951,-5.57698,2,-1.7030795556443,-5.45827,4.20901378598809,4.29528978598809
Malasia,1966,-6.04043,-5.45316,-9.90526,-4.01203,-4.03855210474308,-2.1123,3.57955,3.54798,3.97462,-0.53332,1.39147,-4.20134,-5.83446,-4.22511,9.15588418618012,-15.35842,-5.01276,3,-1.6799205556443,-5.42159,4.21010478598809,4.20856878598809
Malasia,1967,-5.99537,-5.47382,-9.99287,-4.0283,-3.99655375494071,-2.0949,3.55878,3.44567,4.01962,-0.53132,1.39147,-4.21989,-5.84149,-4.24676,9.18091156128537,-15.46669,-5.06083,4,-1.7229235556443,-5.36071,4.14433318598809,4.10425578598809
Malasia,1968,-5.88163,-5.45229,-9.98022,-4.01143,-3.95455540513834,-2.057,3.5999,3.39846,4.01764,-0.50662,1.39147,-4.20744,-5.84401,-4.22621,9.20432229965062,-15.43251,-4.93636,5,-1.6962475556443,-5.25085,4.18743338598809,4.03235178598809
Malasia,1969,-5.86362,-5.51937,-9.78181,-3.9072,-3.91255705533597,-2.04203,3.60974,3.54798,4.01368,-0.46834,1.39147,-4.15965,-5.80275,-4.11546,9.22522898446993,-15.30118,-4.82168,6,-1.6539945556443,-5.45761,4.20123418598809,4.14360478598809
Malasia,1970,-5.82414,-5.36521,-9.91315,-3.9058,-3.8705587055336,-2.06173,3.60974,3.50546,4.03265,-0.43268,1.39147,-4.12439,-5.47154,-4.13579,9.24859908409327,-15.27836,-4.76094,7,-1.6373055556443,-5.26093,4.18226398598809,4.06541378598809
Malasia,1971,-5.79038,-5.40233,-9.79791,-3.88623,-3.82856035573123,-2.03124,3.67729,3.41417,4.0483,-0.39992,1.3874,-4.10864,-5.42558,-4.10415,9.27799902045,-15.20024,-4.68365,8,-1.62312790595844,-5.13921,4.23415928598809,3.94430068598809
Malasia,1972,-5.78293,-5.43477,-9.77457,-3.84994,-3.78656200592885,-1.97946,3.72365,3.34937,4.07991,-0.35673,1.28162,-4.04834,-5.36908,-4.08853,9.30565055178051,-15.20934,-4.52979,9,-1.69085059522417,-5.06049,4.24891918598809,3.91561458598809
Malasia,1973,-5.63904,-5.35186,-9.87847,-3.7132,-3.74456365612648,-1.93468,3.87123,3.60363,4.18006,-0.23325,1.11061,-4.02373,-5.1205,-3.92299,9.33344239227549,-15.23033,-4.38884,10,-1.81075098400076,-5.08426,4.29633818598809,4.18959968598809
Malasia,1974,-5.76942,-5.21435,-10.25278,-3.70968,-3.70256530632411,-1.96828,4.2212,4.02916,4.34029,-0.0609,1.09413,-4.00371,-4.88224,-3.9584,9.36306128732001,-15.46713,-4.43295,11,-1.81357037100571,-5.02231,4.48607998598809,4.45774018598809
Malasia,1975,-5.75105,-5.4077,-10.22336,-3.7896,-3.66056695652174,-1.98457,4.27446,3.88551,4.3844,0.02754,1.08809,-4.02872,-5.12218,-4.0614,9.38429351103238,-15.63106,-4.36337,12,-1.77477343232667,-5.01875,4.49523008598809,4.23119278598809
Malasia,1976,-5.56109,-5.3283,-9.84234,-3.6246,-3.61856860671937,-1.94049,4.29222,4.04993,4.40976,0.07295,1.15527,-3.97471,-5.06465,-3.88489,9.41735440314912,-15.17064,-4.17636,13,-1.69481821503904,-5.08601,4.48763078598809,4.29027778598809
Malasia,1977,-5.56937,-5.23044,-9.89755,-3.55326,-3.576570256917,-1.9037,4.31774,4.14406,4.45667,0.13249,1.11877,-3.88921,-4.94718,-3.84214,9.43986339511929,-15.12799,-4.09408,14,-1.71428803038539,-5.05676,4.46623878598809,4.35698218598809
Malasia,1978,-5.48219,-5.10616,-10.00652,-3.47295,-3.53457190711462,-1.86462,4.3448,4.16415,4.50535,0.20736,1.05272,-3.81615,-4.7487,-3.75189,9.46575735215981,-15.11268,-4.00174,15,-1.74895060706775,-4.92551,4.44462148598809,4.36304218598809
Malasia,1979,-5.44627,-4.95853,-10.17613,-3.34687,-3.49257355731225,-1.87369,4.41392,4.4376,4.5401,0.32551,0.99545,-3.77589,-4.54211,-3.61437,9.50673423633109,-15.13466,-3.86352,16,-1.72148628068383,-4.98221,4.47899548598809,4.57429418598809
Malasia,1980,-5.47469,-4.87919,-10.37526,-3.28749,-3.45057520750988,-1.92702,4.60517,4.60517,4.60517,0.45764,1,-3.65019,-4.44088,-3.60116,9.52952096613849,-15.25445,-3.68531,17,-1.6498698979275,-4.87919,4.60517018598809,4.60517018598809
Malasia,1981,-5.51295,-4.8632,-10.58698,-3.32571,-3.40857685770751,-1.92453,4.72788,4.56619,4.69775,0.54502,1.04545,-3.62989,-4.34037,-3.65757,9.55392993452228,-15.45018,-3.6575,18,-1.6106264831922,-4.70151,4.63529938598809,4.43434618598809
Malasia,1982,-5.4299,-4.79352,-10.77221,-3.33667,-3.36657850790514,-1.95756,4.70968,4.48254,4.75445,0.56493,1.04545,-3.62598,-4.27575,-3.66178,9.57914135740016,-15.56573,-3.59184,19,-1.6474144831922,-4.56638,4.56039998598809,4.33078818598809
Malasia,1983,-5.28234,-4.73981,-10.83483,-3.31004,-3.32458015810277,-1.92532,4.67236,4.44448,4.79082,0.57744,1.04545,-3.61239,-4.26357,-3.6441,9.6037327638973,-15.57464,-3.51715,20,-1.6712724831922,-4.51193,4.48671228598809,4.28023018598809
Malasia,1984,-5.16462,-4.71177,-10.88979,-3.24323,-3.2825818083004,-1.87559,4.63278,4.48365,4.82911,0.601,1.04545,-3.61099,-4.2652,-3.56942,9.62839246392424,-15.60156,-3.44007,21,-1.6860044831922,-4.56264,4.40883798598809,4.29583818598809
Malasia,1985,-5.11224,-4.82493,-10.49812,-3.3107,-3.24058345849802,-1.85898,4.6481,4.40214,4.83231,0.59618,1.13636,-3.62953,-4.52528,-3.65609,9.66014116635337,-15.32305,-3.38332,22,-1.61064012642273,-4.57897,4.42096318598809,4.13575978598809
Malasia,1986,-4.90345,-4.80098,,-3.42104,-3.19858510869565,-1.83253,4.52209,,,0.56669,1.18182,,,,9.68719535202452,,,23,-1.60804427480398,-4.38507,4.28781338598809,3.83008018598809
Philippines,1963,-7.76657,-6.93708,-12.04179,-3.34774,,,2.40499124882544,3.04559300378951,2.93279,,,-3.53272,-4.97983,-3.51306,,-18.97887,-4.54805,,,,,
Philippines,1964,-7.76694,-6.74236,-12.18288,-3.37878,-3.30664869565217,-2.21541,2.41296,3.03661,3.01161,-0.58577,0.52176,-3.5312,-4.9307,-3.55072,10.3365668549141,-18.92524,-4.62635,1,-1.75026146486863,-7.36601,4.00652418598809,4.73056618598809
Philippines,1965,-7.76694,-6.75468,-11.79381,-3.34316,-3.28852003952569,-2.16165,2.42963,3.05372,3.03591,-0.56591,0.52165,-3.49595,-4.91008,-3.51242,10.3662767829761,-18.54849,-4.62613,2,-1.75491931199566,-7.37877,3.99888318598809,4.72801918598809
Philippines,1966,-7.63746,-6.74451,-11.87965,-3.32938,-3.27039138339921,-2.1123,2.44346,3.05999,3.08831,-0.53332,0.52043,-3.48561,-4.95033,-3.49862,10.3960473674952,-18.62416,-4.55065,3,-1.77706978396976,-7.36104,3.96031818598809,4.70404018598809
Philippines,1967,-7.6913,-6.57116,-12.20666,-3.31127,-3.25226272727273,-2.0949,2.46579,3.07779,3.1506,-0.53132,0.52043,-3.47641,-4.86934,-3.48263,10.4255498082281,-18.77782,-4.4694,4,-1.83735178396976,-7.18316,3.92036518598809,4.71984818598809
Philippines,1968,-7.73426,-6.61505,-12.42143,-3.26357,-3.23413407114625,-2.057,2.55328,3.13825,3.1743,-0.50662,0.52043,-3.43782,-4.80745,-3.43063,10.4553591457381,-19.03648,-4.47695,5,-1.83635278396976,-7.20002,3.98415518598809,4.75561718598809
Philippines,1969,-7.77312,-6.67798,-12.72078,-3.21565,-3.21600541501976,-2.04203,2.57093,3.14178,3.19335,-0.46834,0.52043,-3.40412,-4.796,-3.37724,10.4848648322531,-19.39876,-4.37434,6,-1.81713078396976,-7.24883,3.98274918598809,4.72085918598809
Philippines,1970,-7.59869,-6.78146,-11.98305,-3.19981,-3.19787675889328,-2.06173,3.02084,3.57026,3.32396,-0.43268,0.78721,-3.43331,-4.73557,-3.36133,10.5146108976175,-18.76451,-4.43456,7,-1.49822912800025,-7.33088,4.30204818598809,4.69984118598809
Philippines,1971,-7.51025,-6.74681,-11.67586,-3.19553,-3.1797481027668,-2.03124,3.12811,3.60556,3.46448,-0.39992,0.85741,-3.41503,-4.7531,-3.35989,10.5427063910705,-18.42267,-4.46527,8,-1.52058195964606,-7.22426,4.26879518598809,4.61695718598809
Philippines,1972,-7.48484,-6.76006,-11.3997,-3.20649,-3.16161944664032,-1.97946,3.21099,3.5878,3.55962,-0.35673,0.88977,-3.41289,-4.77519,-3.37612,10.5710604819766,-18.15976,-4.44962,9,-1.53548117454775,-7.13687,4.25653018598809,4.51896118598809
Philippines,1973,-7.39144,-6.80551,-11.03052,-3.10386,-3.14349079051383,-1.93468,3.47594,3.97736,3.69063,-0.23325,0.90061,-3.38562,-4.64614,-3.28241,10.5996302420759,-17.83603,-4.44287,10,-1.53089086539517,-7.30693,4.39047618598809,4.77294218598809
Philippines,1974,-7.56353,-6.65317,-11.36573,-3.09621,-3.12536213438735,-1.96828,3.97826,4.49055,3.97968,-0.0609,0.90481,-3.36677,-4.41055,-3.26024,10.6286177789491,-18.0189,-4.58055,11,-1.64294620000258,-7.16546,4.60374318598809,5.10911418598809
Philippines,1975,-7.52774,-6.61312,-11.58222,-3.05702,-3.10723347826087,-1.98457,4.0809,4.32761,4.05837,0.02754,0.96604,-3.33002,-4.22195,-3.25895,10.6470902954341,-18.19534,-4.53964,12,-1.56771493568691,-6.85983,4.62769718598809,4.79225518598809
Philippines,1976,-7.31897,-6.58467,-11.47368,-2.98888,-3.08910482213439,-1.94049,4.09577,4.22052,4.1179,0.07295,0.99165,-3.27156,-4.17355,-3.17456,10.6784452188672,-18.05835,-4.36867,13,-1.55566795446194,-6.70942,4.58303918598809,4.61359718598809
Philippines,1977,-7.16041,-6.64037,-11.64854,-2.95906,-3.07097616600791,-1.9037,4.1947,4.22987,4.19389,0.13249,0.98667,-3.22814,-4.18451,-3.13561,10.7050407190978,-18.28891,-4.20926,14,-1.57715353988697,-6.67554,4.60597818598809,4.56844618598809
Philippines,1978,-7.19682,-6.4984,-11.67944,-2.91482,-3.05284750988142,-1.86462,4.214,4.34448,4.26704,0.20736,0.98667,-3.18287,-4.13794,-3.06051,10.7318211148453,-18.17784,-4.14371,15,-1.57542753988697,-6.62888,4.55212818598809,4.60819218598809
Philippines,1979,-7.13261,-6.42699,-11.72838,-2.90582,-3.03471885375494,-1.87369,4.37732,4.55071,4.43947,0.32551,0.98667,-3.18574,-4.05781,-3.05119,10.758753688865,-18.15537,-4.24042,16,-1.62971953988697,-6.60038,4.54301618598809,4.69626018598809
Philippines,1980,-6.97088,-6.43829,-11.75465,-2.90505,-3.01659019762846,-1.92702,4.60517,4.60517,4.60517,0.45764,1,-3.1872,-4.08857,-3.04566,10.7856009360855,-18.19294,-4.26645,17,-1.6498698979275,-6.43829,4.60517018598809,4.60517018598809
Philippines,1981,-6.9851,-6.54099,-12.12539,-2.90886,-2.99846154150198,-1.92453,4.76284,4.63494,4.72189,0.54502,1.05333,-3.17922,-4.08885,-3.03469,10.8105358039719,-18.66638,-4.21673,18,-1.62724932355876,-6.41309,4.64612418598809,4.49560418598809
Philippines,1982,-6.95518,-6.44393,-12.91317,-2.93098,-2.98033288537549,-1.95756,4.67852,4.52281,4.81891,0.56493,1.13333,-3.1716,-4.17687,-3.05188,10.8352579537226,-19.3571,-4.18938,19,-1.63114869615429,-6.28822,4.46477418598809,4.29036118598809
Philippines,1983,-7.03165,-6.49815,-13.15099,-2.92973,-2.96220422924901,-1.92532,4.95186,4.83898,4.9142,0.57744,1.48133,-3.16582,-4.23667,-3.05801,10.8601522745916,-19.64914,-4.13921,20,-1.44615156504578,-6.38527,4.64283218598809,4.32624818598809
Philippines,1984,-7.0798,-6.85435,-13.15149,-3.03074,-2.94407557312253,-1.87559,5.48134,5.34451,5.32174,0.601,2.22667,-3.21503,-4.77683,-3.14491,10.8846292567299,-20.00584,-4.5078,21,-1.42257170204219,-6.71752,4.76476918598809,4.40064118598809
Philippines,1985,-7.12664,-6.98441,-12.94341,-3.14319,-2.92594691699605,-1.85898,5.52783,5.32227,5.52963,0.59618,2.48,-3.24457,-5.08359,-3.26636,10.909070391889,-19.92782,-4.6421,22,-1.52752433775061,-6.77885,4.60336718598809,4.27547718598809
Philippines,1986,-6.99567,-6.84402,,-3.14851,-2.90781826086957,-1.83253,5.4375,,,0.56669,2.72,,,,10.9331069697173,,,23,-1.47266001761959,-6.71114,4.50502318598809,4.19494818598809
Sri Lanka,1963,-7.7743,-7.15311,-10.03564,-3.78246,,,2.19147660788424,3.07519913440898,3.4022,,,-3.91945,-5.62036,-4.03022,,-17.18875,-5.13684,,,,,
Sri Lanka,1964,-7.71706,-7.07689,-10.70691,-3.77096,-3.87836576086956,-2.21541,2.37389,3.0752,3.43302,-0.58577,0.46393,-3.89837,-5.71587,-4.03295,9.29651806821724,-17.7838,-5.10876,1,-2.28915249813317,-7.7782,3.54603518598809,4.88662918598809
Sri Lanka,1965,-7.70246,-7.30601,-10.09868,-3.76698,-3.8307673715415,-2.16165,2.28684,3.0752,3.4356,-0.56591,0.46393,-3.89676,-5.83607,-4.02559,9.3200912359353,-17.40469,-5.07406,2,-2.27187149813317,-8.09437,3.45640518598809,4.86676018598809
Sri Lanka,1966,-7.79932,-7.07325,-10.91026,-3.75054,-3.78316898221344,-2.1123,2.28684,3.01059,3.43367,-0.53332,0.46393,-3.86509,-5.69385,-4.00974,9.34487126493379,-17.98351,-5.11933,3,-2.23735049813317,-7.797,3.45833918598809,4.76956118598809
