cusip,year,ikn,qn
9158,1961,0.26276644,2.53315362
9158,1962,0.37975098,6.29643108
9158,1963,0.35626927,4.02304577
9158,1964,0.28128695,2.88162716
9158,1965,0.38821055,1.76988446
9158,1966,0.30513109,2.32414399
9158,1967,0.23253493,1.14084365
9158,1968,0.19977069,1.75664788
9158,1969,0.20041276,1.53374243
9158,1970,0.19201773,0.72120671
9158,1971,0.23858221,0.97958044
9158,1972,0.13932407,1.19803082
9158,1973,0.19377803,1.62213886
9158,1974,0.27143285,1.85020099
9158,1975,0.25886957,1.74864228
9158,1976,0.23027875,2.03701678
9158,1977,0.18157639,1.59804623
9158,1978,0.21397158,0.50062976
9158,1979,0.21866341,0.04837134
9158,1980,0.25498771,0.44048409
9158,1981,0.19206018,0.30943374
9158,1982,0.22023368,-0.20044214
9158,1983,0.12715405,-0.25081542
9158,1984,0.13626013,-0.02664926
9158,1985,0.19184505,-0.04117986
13716,1951,0.33452372,1.55149944
13716,1952,0.37268178,1.05503161
13716,1953,0.21137242,0.66398879
13716,1954,0.07796543,0.31584243
13716,1955,0.10539974,1.1561986
13716,1956,0.16119227,1.92663209
13716,1957,0.18438294,1.79016694
13716,1958,0.10356516,0.49187715
13716,1959,0.06259305,0.77562894
13716,1960,0.06133012,0.77899353
13716,1961,0.06078596,0.59345581
13716,1962,0.05346017,0.40728812
13716,1963,0.05991527,-0.12296151
13716,1964,0.0583998,0.02830799
13716,1965,0.11921981,0.17415882
13716,1966,0.09433898,0.2175359
13716,1967,0.09264934,-0.11422489
13716,1968,0.07269608,-0.27785988
13716,1969,0.09435592,-0.40221826
13716,1970,0.10301914,-0.65677176
13716,1971,0.09668137,-0.6887885
13716,1972,0.06053281,-0.97204739
13716,1973,0.05951906,-0.84420712
13716,1974,0.10473113,-0.30651923
13716,1975,0.07205703,-1.17098088
13716,1976,0.04795715,-1.28264635
13716,1977,0.07634722,-1.20640112
13716,1978,0.09499847,-1.38198277
13716,1979,0.1214637,-1.30727207
13716,1980,0.15191418,-1.21103085
13716,1981,0.15773607,-0.95927122
13716,1982,0.08986307,-1.15197686
13716,1983,0.05260588,-0.86304973
13716,1984,0.07022968,-0.51034736
13716,1985,0.09351419,-0.81721319
17372,1951,0.25716359,-0.70397226
17372,1952,0.18987486,-0.52959191
17372,1953,0.10574024,-0.78343531
17372,1954,0.10800537,-1.17499362
17372,1955,0.07223032,-0.56894453
17372,1956,0.14181227,-0.04462839
17372,1957,0.12785093,2.12480294
17372,1958,0.036573,-0.49455396
17372,1959,0.04681648,0.68328486
17372,1960,0.13747641,1.25924969
17372,1961,0.05462258,-0.17457221
17372,1962,0.06092803,0.91324062
17372,1963,0.05383578,-0.14435136
17372,1964,0.06508473,0.09420648
17372,1965,0.2209944,0.11672108
17372,1966,0.22445844,0.85922537
17372,1967,0.13985074,0.79851083
17372,1968,0.15856313,1.38833465
17372,1969,0.1498256,0.63345567
17372,1970,0.1318709,-0.92436066
17372,1971,0.08850742,-1.1444384
17372,1972,0.13600856,-1.54900812
17372,1973,0.11064776,-1.1957404
17372,1974,0.13508056,-1.41657711
17372,1975,0.12569863,-1.8312644
17372,1976,0.12594682,-1.65688854
17372,1977,0.31730169,-1.38298757
17372,1978,0.11284496,-1.58847517
17372,1979,0.10073009,-1.69438158
17372,1980,0.20952629,-1.72054889
17372,1981,0.20536387,-1.52971091
17372,1982,0.05840177,-1.65209878
17372,1983,0.0455939,-1.63026287
17372,1984,0.04598669,-1.48683666
17372,1985,0.05968088,-1.49053111
19411,1951,0.1486104,-0.17181302
19411,1952,0.20660585,0.30693308
19411,1953,0.19022448,0.24659835
19411,1954,0.2147223,0.71730685
19411,1955,0.27812121,1.23982759
19411,1956,0.16233918,1.06446683
19411,1957,0.23500012,2.34647283
19411,1958,0.07894951,-0.45767112
19411,1959,0.04239295,-0.57650205
19411,1960,0.08815323,-1.18797066
19411,1961,0.159519,-2.0485808
19411,1962,0.21243875,-1.54513277
19411,1963,0.07023541,-2.19773814
19411,1964,0.45157209,-2.10675154
19411,1965,0.15745344,-1.01370919
19411,1966,0.16485107,5.31666011
19411,1967,0.18403658,2.16434355
19411,1968,0.25532851,10.11633403
19411,1969,0.2470081,10.78164619
19411,1970,0.21763897,3.34620659
19411,1971,0.12297734,-0.189979
19411,1972,0.1240243,-0.18405123
19411,1973,0.48425567,-0.6499421
19411,1974,0.24654757,-0.60241627
19411,1975,0.27028798,-1.10157665
19411,1976,0.09129153,-1.08471523
19411,1977,0.06224022,-1.20416863
19411,1978,0.06184458,-1.15773019
19411,1979,0.08610902,-1.4153486
19411,1980,0.0752591,-1.08392698
19411,1981,0.03454043,-1.51576297
19411,1982,0.04535082,-1.60414673
19411,1983,0.06099944,-1.71301044
19411,1984,0.21204776,-1.41685524
19411,1985,0.22936783,-0.80869479
19519,1951,0.1675131,-1.63642627
19519,1952,0.07708995,-2.05157528
19519,1953,0.10103376,-2.19251664
19519,1954,0.08930405,-2.25849719
19519,1955,0.1507261,-1.44056486
19519,1956,0.15779667,-1.26979352
19519,1957,0.13412677,-2.06559586
19519,1958,0.11170915,-2.49356948
19519,1959,0.08280703,-1.62925131
19519,1960,0.0728958,-1.57095954
19519,1961,0.10949417,-2.20922431
19519,1962,0.11022255,-0.93515855
19519,1963,0.09275772,-1.78956907
19519,1964,0.10455271,-1.42585252
19519,1965,0.16669868,0.02482584
19519,1966,0.20409207,2.6792466
19519,1967,0.26636673,1.13917274
19519,1968,0.21908998,2.07783698
19519,1969,0.25676971,1.93769039
19519,1970,0.22810557,0.54069517
19519,1971,0.12526345,0.38406912
19519,1972,0.07456344,0.46257207
19519,1973,0.07151964,0.52485975
19519,1974,0.10446472,-0.49613892
19519,1975,0.0765544,-0.89464899
19519,1976,0.08297598,-0.05278412
19519,1977,0.11101425,-0.32379131
19519,1978,0.12704014,-0.67085776
19519,1979,0.18220466,-0.65192943
19519,1980,0.12567074,-0.71604524
19519,1981,0.28850859,-0.9979885
19519,1982,0.08646505,-0.58558451
19519,1983,0.09359161,-0.15922391
19519,1984,0.08493001,0.06325501
19519,1985,0.10534792,-0.01434852
19645,1951,0.13300842,-2.27378512
19645,1952,0.18524807,-1.89194895
19645,1953,0.23340788,-0.97002768
19645,1954,0.09943172,-1.78764512
19645,1955,0.13748176,-0.43681719
19645,1956,0.12378886,-0.50684501
19645,1957,0.12426156,-0.39951587
19645,1958,0.06758548,-1.95044009
19645,1959,0.10216634,-1.07796748
19645,1960,0.10185005,-0.30447222
19645,1961,0.14797808,-1.76505958
19645,1962,0.11267098,-2.04457274
19645,1963,0.09296745,-2.9369312
19645,1964,0.13655612,-2.74422529
19645,1965,0.15409181,-2.17215127
19645,1966,0.15762589,-1.06293297
19645,1967,0.18703202,-2.36387073
19645,1968,0.13808617,-0.4700506
19645,1969,0.12220613,-0.0647202
19645,1970,0.12881188,-1.63524262
19645,1971,0.09020313,-1.83332065
19645,1972,0.1162749,-2.21984109
19645,1973,0.12812908,-2.19900243
19645,1974,0.11688897,-2.44625071
19645,1975,0.10205582,-2.82906246
19645,1976,0.14540739,-2.51604292
19645,1977,0.17127259,-1.86291176
19645,1978,0.23762732,-1.73975267
19645,1979,0.09705492,-1.45002928
19645,1980,0.07192376,-1.48076477
19645,1981,0.05427088,-1.4966476
19645,1982,0.03644163,-2.10716738
19645,1983,0.01953746,-1.6994308
19645,1984,0.02406577,-1.17830522
19645,1985,0.01686747,-0.94273505
22249,1951,0.15170453,-0.26352787
22249,1952,0.29531177,-0.34190297
22249,1953,0.1594672,0.08495754
22249,1954,0.08913567,0.15660348
22249,1955,0.10124182,0.90371024
22249,1956,0.15248613,3.14296594
22249,1957,0.18885538,2.71178325
22249,1958,0.0751204,0.68022272
22249,1959,0.05088649,2.11705076
22249,1960,0.07454136,2.68887223
22249,1961,0.0614953,1.08814423
22249,1962,0.07673617,0.94075895
22249,1963,0.11330548,0.33988067
22249,1964,0.15185434,0.786375
22249,1965,0.12914174,0.36834356
22249,1966,0.13486371,0.77045235
22249,1967,0.11982659,0.59928149
22249,1968,0.11118877,0.53704124
22249,1969,0.13826043,0.07439542
22249,1970,0.12163928,-0.2667009
22249,1971,0.09442197,-0.49153038
22249,1972,0.0643535,-0.80183681
22249,1973,0.08687453,-0.71754732
22249,1974,0.13453222,-0.42150443
22249,1975,0.1196786,-1.02795108
22249,1976,0.07193122,-0.80511867
22249,1977,0.07829026,-0.51618942
22249,1978,0.08895827,-0.85840592
22249,1979,0.09639819,-0.96628966
22249,1980,0.12677262,-1.08689097
22249,1981,0.1174131,-1.12420769
22249,1982,0.08000054,-1.24149708
22249,1983,0.0678505,-0.95765212
22249,1984,0.09812117,-0.60421071
22249,1985,0.08772816,-0.82451819
24069,1951,0.09119091,-0.33755377
24069,1952,0.09314959,-0.48744799
24069,1953,0.15312834,-0.2369365
24069,1954,0.15170639,0.70226161
24069,1955,0.09868836,1.38349719
24069,1956,0.1321653,1.31973813
24069,1957,0.10423371,0.69911229
24069,1958,0.12001906,0.8706032
24069,1959,0.09841566,1.60794837
24069,1960,0.11878801,2.01268288
24069,1961,0.13324999,1.00503292
24069,1962,0.11717671,1.37324177
24069,1963,0.20180726,-0.99562391
24069,1964,0.23360688,-0.80184568
24069,1965,0.25830469,-0.68276475
24069,1966,0.20390882,-0.54491244
24069,1967,0.10860232,-0.93500433
24069,1968,0.23227495,-0.49384732
24069,1969,0.09076139,-0.15346019
24069,1970,0.03124633,-1.13696353
24069,1971,0.08314143,-0.89236146
24069,1972,0.12727247,-1.12507051
24069,1973,0.08853808,-1.28052266
24069,1974,0.11179575,-1.47771321
24069,1975,0.1257748,-1.45813597
24069,1976,0.15656734,-1.17766052
24069,1977,0.1602463,-1.05905029
24069,1978,0.14846728,-1.05493399
24069,1979,0.11381526,-1.08738658
24069,1980,0.08321492,-0.94967099
24069,1981,0.05756169,-1.0618983
24069,1982,0.07684098,-1.07592986
24069,1983,0.05980701,-1.0538809
24069,1984,0.09553919,-0.95219738
24069,1985,0.19581229,-0.95844769
24703,1951,0.06096518,1.29613032
24703,1952,0.064736,0.38442572
24703,1953,0.09225199,1.35838173
24703,1954,0.07583096,0.07571844
24703,1955,0.10444994,0.73413855
24703,1956,0.10041513,3.95234204
24703,1957,0.15071293,0.91240134
24703,1958,0.14039014,0.98918399
24703,1959,0.11837854,4.11288616
24703,1960,0.10070981,5.32318756
24703,1961,0.08604876,9.06322281
24703,1962,0.08416966,22.10454816
24703,1963,0.21953376,5.47485153
24703,1964,0.19117327,3.35485584
24703,1965,0.19201352,4.9730592
24703,1966,0.24605464,8.02666441
24703,1967,0.20795149,4.28668389
24703,1968,0.18517818,4.19363839
24703,1969,0.20563492,4.60907019
24703,1970,0.21146785,2.28350492
24703,1971,0.1642096,3.23152335
24703,1972,0.18739337,1.60663265
24703,1973,0.20441191,0.94621073
24703,1974,0.19684784,-0.75963098
24703,1975,0.14720428,-1.6896341
24703,1976,0.14510078,-0.88766502
24703,1977,0.11815242,-0.47210878
24703,1978,0.13571812,-1.09728808
24703,1979,0.14450543,-0.7554069
24703,1980,0.18269893,-0.67910342
24703,1981,0.13684403,-0.47998226
24703,1982,0.11482083,-0.7937146
24703,1983,0.10809396,-0.1412397
24703,1984,0.12728062,0.80122347
24703,1985,0.12805741,1.06628509
24843,1951,0.12545109,-0.51472145
24843,1952,0.10738143,-0.40420953
24843,1953,0.10824203,0.15883553
24843,1954,0.10728465,0.30671059
24843,1955,0.08015942,0.64997549
24843,1956,0.0761069,0.72420099
24843,1957,0.20582696,0.17298828
24843,1958,0.11630846,0.99854807
24843,1959,0.11169044,1.6515602
24843,1960,0.13273107,0.97887673
24843,1961,0.08228016,0.48462575
24843,1962,0.0846232,1.30319043
24843,1963,0.12542739,1.12660039
24843,1964,0.17320292,0.73609436
24843,1965,0.10955148,0.57026693
24843,1966,0.14390284,1.11719895
24843,1967,0.19495808,0.5220321
24843,1968,0.19444175,0.70230959
24843,1969,0.12452695,0.64396879
24843,1970,0.12164664,-0.414598
24843,1971,0.06612273,-0.4429193
24843,1972,0.07109452,-0.74941052
24843,1973,0.07777919,-0.85516702
24843,1974,0.09556259,-1.15027862
24843,1975,0.0899733,-1.14639937
24843,1976,0.07709928,-1.09889027
24843,1977,0.08327182,-0.97835483
24843,1978,0.11056483,-1.14290402
24843,1979,0.13058215,-1.3022247
24843,1980,0.11071037,-1.28334436
24843,1981,0.06948453,-1.3644652
24843,1982,0.0613864,-1.30166005
24843,1983,0.04968308,-1.3385522
24843,1984,0.04243837,-1.20319485
24843,1985,0.04607475,-1.20835311
25321,1951,0.24922575,0.68568175
25321,1952,0.21858455,3.01393757
25321,1953,0.27837279,2.26932548
25321,1954,0.158231,1.34171031
25321,1955,0.08836235,1.37335214
25321,1956,0.20325331,2.45904521
25321,1957,0.24784551,3.49222201
25321,1958,0.21993818,3.3572885
25321,1959,0.09236203,4.07115701
25321,1960,0.12462965,4.87437199
25321,1961,0.12853754,3.10267183
25321,1962,0.09593774,2.77288912
25321,1963,0.12835089,3.40111668
25321,1964,0.12808718,4.37226616
25321,1965,0.28014403,5.05446552
25321,1966,0.20725989,5.83926981
25321,1967,0.10607585,2.8224835
25321,1968,0.10512215,2.56711726
25321,1969,0.16136587,2.97680947
25321,1970,0.1473466,1.43583535
25321,1971,0.15784908,2.41178054
25321,1972,0.10018318,2.26122907
25321,1973,0.11371012,1.70822564
25321,1974,0.16336277,-0.14504023
25321,1975,0.19118928,-0.22063743
25321,1976,0.18872551,-0.00834995
25321,1977,0.1703743,0.11739184
25321,1978,0.16075893,-0.08198142
25321,1979,0.13619268,-0.33185787
25321,1980,0.10523225,0.01742694
25321,1981,0.09122455,-0.27821109
25321,1982,0.08398173,-0.65601238
25321,1983,0.08583484,-0.39234113
25321,1984,0.10672116,0.3349472
25321,1985,0.10963839,0.32521305
26609,1951,0.14321896,2.47361464
26609,1952,0.0941982,3.47631437
26609,1953,0.06405845,2.76352747
26609,1954,0.16139833,5.05258135
26609,1955,0.1551394,8.72166536
26609,1956,0.14289343,11.93798334
26609,1957,0.21241786,17.72465826
26609,1958,0.17769937,18.43618087
26609,1959,0.17624891,29.9556675
26609,1960,0.24527863,37.43925997
26609,1961,0.17025153,33.23823603
26609,1962,0.14058808,42.0898054
26609,1963,0.1366258,24.91100727
26609,1964,0.1167005,26.61849087
26609,1965,0.19953275,27.10912302
26609,1966,0.23190692,31.14170387
26609,1967,0.19475776,24.70307054
26609,1968,0.16365929,36.68102914
26609,1969,0.15876599,34.26169
26609,1970,0.19141119,35.87991608
26609,1971,0.15364038,29.97699707
26609,1972,0.13004078,35.66141466
26609,1973,0.1543227,45.93993465
26609,1974,0.17773717,41.33796125
26609,1975,0.17574831,28.44128702
26609,1976,0.12056887,22.10671527
26609,1977,0.12758971,18.77552662
26609,1978,0.13033756,13.89226665
26609,1979,0.14959574,11.57568632
26609,1980,0.14639827,8.98242325
26609,1981,0.1302831,7.56095185
26609,1982,0.17409979,9.59870167
26609,1983,0.2060068,10.74062573
26609,1984,0.14408947,10.61403785
26609,1985,0.1707795,9.81809307
27627,1951,0.09765945,-1.70291341
27627,1952,0.21313597,-1.86882935
27627,1953,0.12626624,-0.74871612
27627,1954,0.08391775,-1.80462829
27627,1955,0.14497182,-2.56598006
27627,1956,0.16553105,-2.88027652
27627,1957,0.04249196,-2.98670979
27627,1958,0.03276891,-2.16105415
27627,1959,0.18643019,3.71763415
27627,1960,0.35818887,11.0579238
27627,1961,0.10876906,2.91585475
27627,1962,0.09239511,2.61669028
27627,1963,0.41481033,1.8391383
27627,1964,0.20491102,1.24880122
27627,1965,0.30556481,0.02353393
27627,1966,0.28198535,-1.33819388
27627,1967,0.1869574,-1.69846239
27627,1968,0.09054355,0.1881321
27627,1969,0.19151677,-0.38790107
27627,1970,0.15364663,-1.28006773
27627,1971,0.09985483,-0.88397812
27627,1972,0.11157431,-0.82062001
27627,1973,0.20949028,-1.15330584
27627,1974,0.23235997,-1.43866211
27627,1975,0.17616096,-2.24194596
27627,1976,0.09983972,-1.59637576
27627,1977,0.08575423,-1.61527303
27627,1978,0.07520714,-1.8339352
27627,1979,0.09267489,-1.87456468
27627,1980,0.14448348,-2.0537472
27627,1981,0.22376968,-1.70823439
27627,1982,0.30139231,-1.34938197
27627,1983,0.22223675,-0.25918028
27627,1984,0.17293974,0.072403
27627,1985,0.17829667,-0.24047132
30177,1951,0.09523444,-0.36206281
30177,1952,0.10969868,-0.42118517
30177,1953,0.11373609,-0.30781939
30177,1954,0.111744,-0.28205393
30177,1955,0.12250955,-0.05469539
30177,1956,0.14526,0.03737185
30177,1957,0.14497236,-0.09404489
30177,1958,0.11937635,-0.13949304
30177,1959,0.11603198,0.39568011
30177,1960,0.12925021,0.45804428
30177,1961,0.12627909,1.12791294
30177,1962,0.13113717,1.89399483
30177,1963,0.130158,1.37118567
30177,1964,0.1375175,1.65286515
30177,1965,0.14148945,1.46609178
30177,1966,0.13766535,1.04241051
30177,1967,0.13031794,0.70816099
30177,1968,0.1305031,0.50535954
30177,1969,0.14014449,0.44590875
30177,1970,0.15367176,0.05407074
30177,1971,0.14342366,0.10485919
30177,1972,0.13714555,-0.11125386
30177,1973,0.14353716,-0.02931778
30177,1974,0.13401048,-0.18225169
30177,1975,0.10759272,-0.36547661
30177,1976,0.1034464,-0.43317435
30177,1977,0.10623617,-0.34644245
30177,1978,0.11134609,-0.47308838
30177,1979,0.11611806,-0.53587032
30177,1980,0.11263122,-0.70273292
30177,1981,0.10485574,-0.78647332
30177,1982,0.0913688,-0.73568676
30177,1983,0.08402985,-0.7214634
30177,1984,0.01723366,-0.66519085
30177,1985,0.02599728,-1.32455512
31105,1951,0.15870702,-2.16812267
31105,1952,0.09699662,-1.54567875
31105,1953,0.06641335,-1.42863057
31105,1954,0.06977337,-2.07061618
31105,1955,0.37742701,0.38891699
31105,1956,0.22711459,2.70156133
31105,1957,0.31944304,2.96556137
31105,1958,0.40508981,1.88177891
31105,1959,0.15499064,3.664005
31105,1960,0.11329913,7.69768854
31105,1961,0.08591018,3.11962706
31105,1962,0.26365586,6.05717987
31105,1963,0.2622055,4.80833777
31105,1964,0.14284098,4.77440612
31105,1965,0.06995204,3.18997287
31105,1966,0.15833372,4.90717742
31105,1967,0.28813925,1.45262257
31105,1968,0.14512464,9.90035311
31105,1969,0.27586735,12.14592716
31105,1970,0.12252553,5.39025062
31105,1971,0.10795171,2.78127242
31105,1972,0.1373933,4.11278117
31105,1973,0.20613732,3.12814117
31105,1974,0.23314069,0.68912044
31105,1975,0.10837475,-0.34707158
31105,1976,0.12077609,1.16459278
31105,1977,0.30924955,2.73174005
31105,1978,0.17772157,2.29847992
31105,1979,0.23431435,1.28379323
31105,1980,0.2084552,2.76562043
31105,1981,0.12651072,3.49006418
31105,1982,0.1257555,3.16156721
31105,1983,0.11100519,2.54685334
31105,1984,0.13354313,5.72839579
31105,1985,0.22173446,4.13467504
32177,1951,0.21018486,-1.12181049
32177,1952,0.10106023,-1.26173232
32177,1953,0.15954551,-1.60600176
32177,1954,0.10934919,-2.22153242
32177,1955,0.17509261,-1.7676645
32177,1956,0.12131868,-0.98681573
32177,1957,0.16538179,-1.11567692
32177,1958,0.19268122,-2.23499219
32177,1959,0.13180818,-1.13161244
32177,1960,0.13184658,0.38452339
32177,1961,0.14158655,-0.89833052
32177,1962,0.1644193,0.22226829
32177,1963,0.17564481,-0.65367293
32177,1964,0.09504954,0.00374497
32177,1965,0.12697753,0.10314183
32177,1966,0.08592397,0.26379307
32177,1967,0.21513143,-0.55005414
32177,1968,0.14814719,0.19910992
32177,1969,0.12953833,-0.11298653
32177,1970,0.05769466,-0.98664594
32177,1971,0.04481901,-1.11383804
32177,1972,0.06808866,-0.89457901
32177,1973,0.08489582,-0.84707094
32177,1974,0.0885041,-1.11671639
32177,1975,0.14460784,-1.4750433
32177,1976,0.17076489,-1.01215617
32177,1977,0.12401422,0.11474544
32177,1978,0.16129081,0.05431982
32177,1979,0.08495219,0.27987157
32177,1980,0.12745444,0.05268911
32177,1981,0.19603712,-0.01970388
32177,1982,0.09156352,-0.615649
32177,1983,0.02481707,-1.13459639
32177,1984,0.03718617,-0.739576
32177,1985,0.12931139,-0.55552179
33047,1951,0.0940604,0.009226
33047,1952,0.09549779,0.1798443
33047,1953,0.1241542,-0.61630932
33047,1954,0.15402905,-0.09586604
33047,1955,0.08543432,0.43747702
33047,1956,0.13413956,0.48869556
33047,1957,0.16043924,-0.31447597
33047,1958,0.14958133,-0.04567555
33047,1959,0.18113459,3.48674036
33047,1960,0.13989708,3.34469761
33047,1961,0.13556884,2.22189926
33047,1962,0.21532228,2.47534027
33047,1963,0.12936341,0.75517349
33047,1964,0.1605845,0.81300589
33047,1965,0.22800986,1.7565143
33047,1966,0.28366099,1.79034593
33047,1967,0.17474776,2.29838926
33047,1968,0.19787105,1.38120804
33047,1969,0.25894332,4.65777513
33047,1970,0.15411601,3.11513175
33047,1971,0.10664459,1.65044051
33047,1972,0.14024548,1.10100721
33047,1973,0.13356132,0.5555196
33047,1974,0.13002861,-1.18342086
33047,1975,0.18575116,-1.37103727
33047,1976,0.17361593,-0.68681954
33047,1977,0.19939831,-0.28645868
33047,1978,0.13782762,-0.6449623
33047,1979,0.21273822,-0.93172529
33047,1980,0.14831602,-1.06030766
33047,1981,0.07600994,-0.9640706
33047,1982,0.10021504,-1.12145005
33047,1983,0.10341824,-0.93549877
33047,1984,0.10484609,-0.30850812
33047,1985,0.06748343,-0.7765579
42083,1951,0.09685356,1.93936607
42083,1952,0.03153264,1.50464713
42083,1953,0.04823398,1.18412936
42083,1954,0.25606117,0.95620837
42083,1955,0.0416999,0.12382684
42083,1956,0.01402861,-0.7419365
42083,1957,0.05481221,-1.3625779
42083,1958,0.04338087,-1.57202049
42083,1959,0.04461968,-1.27023918
42083,1960,0.0158904,-1.21975499
42083,1961,0.025661,-1.51127354
42083,1962,0.0182395,-1.37863808
42083,1963,0.03817266,-1.51306224
42083,1964,0.43719841,-1.27994836
42083,1965,0.09794822,-0.65192399
42083,1966,0.16431993,0.15165926
42083,1967,0.14141709,0.59567919
42083,1968,0.05061337,0.91094714
42083,1969,0.06424587,0.33393194
42083,1970,0.1093721,-0.65054567
42083,1971,0.06727738,-1.25411683
42083,1972,0.01459279,-0.95908959
42083,1973,0.05206089,-1.77052078
42083,1974,0.14517806,-1.69467923
42083,1975,0.12748918,-1.43084422
42083,1976,0.10826519,-1.67034838
42083,1977,0.1205312,-1.63425217
42083,1978,0.08960752,-1.46058508
42083,1979,0.06560363,-1.62096507
42083,1980,0.08175301,-1.73037927
42083,1981,0.0469839,-2.10472958
42083,1982,0.14487081,-2.04693745
42083,1983,0.06138094,-1.50881679
42083,1984,0.11461347,-1.39802459
42083,1985,0.02421556,-1.05201974
44540,1951,0.33286804,-0.71304814
44540,1952,0.36678848,0.19772149
44540,1953,0.23835117,-0.29401746
44540,1954,0.11455237,-1.05436372
44540,1955,0.13730789,-0.77860228
44540,1956,0.21706759,-0.74576435
44540,1957,0.17707306,-0.82397324
44540,1958,0.13512428,-1.12346195
44540,1959,0.13298196,-0.70436105
44540,1960,0.19269577,-0.17083051
44540,1961,0.20692561,-0.24422538
44540,1962,0.11642629,0.53411976
44540,1963,0.38790121,0.56073846
44540,1964,0.1917196,0.68898224
44540,1965,0.17212833,1.26276341
44540,1966,0.26056078,2.41920024
44540,1967,0.25137144,2.58967012
44540,1968,0.25458727,3.17139996
44540,1969,0.26972686,3.75795618
44540,1970,0.21789028,0.88474619
44540,1971,0.16703376,0.29912087
44540,1972,0.2141219,0.10655375
44540,1973,0.25970604,0.97651318
44540,1974,0.22324617,0.04217077
44540,1975,0.25363379,-0.80091631
44540,1976,0.20089522,-0.73225073
44540,1977,0.3068075,-0.24100004
44540,1978,0.17297123,-0.45932057
44540,1979,0.14515191,-0.18931267
44540,1980,0.12188217,-0.54587938
44540,1981,0.20085084,-0.81370408
44540,1982,0.16799444,-1.14773048
44540,1983,0.11965902,-1.12207406
44540,1984,0.11417134,-1.08648973
44540,1985,0.11435075,-0.80568268
45573,1951,0.03113576,-2.15334542
45573,1952,0.02008936,-1.98242953
45573,1953,0.04588492,-2.00380731
45573,1954,0.09878463,-2.20651645
45573,1955,0.06955786,-1.41493972
45573,1956,0.05422828,-0.93846554
45573,1957,0.0800152,-1.57528708
45573,1958,0.10971657,-1.42563688
45573,1959,0.18627171,-0.42626339
45573,1960,0.17265068,0.61733259
45573,1961,0.18125333,1.18058222
45573,1962,0.16472457,3.81705659
45573,1963,0.10967483,2.77367803
45573,1964,0.0937238,3.87055201
45573,1965,0.1152756,6.15801523
45573,1966,0.3069033,7.74117085
45573,1967,0.24275246,5.55203979
45573,1968,0.1733146,7.76291255
45573,1969,0.20926847,7.70324074
45573,1970,0.14005962,3.80963246
